,,,,Community ,,
Caspar Cattle,2017,monthly usage,CL/cups,Center meter,,
January,"50,586,850","  298,580 ",28,1593373,"  4,415 ",
February,"  50,885,430 ","  269,840 ",72,1597788,"  9,283 ",
March,"  51,155,270 ","  400,680 ",54,1607071,"  4,604 ",
April,"  51,555,950 ","  128,732 ",20,1611675,"  5,544 ",
May,"  51,684,682 ","  64,300 ",0,1617219,"  7,869 ",
June,"  51,748,982 ","  83,272 ",2,1625088,"  16,163 ",
July,"  51,832,254 ","  89,516 ",3,1641251,"  9,344 ",
August,"  51,921,770 ","  64,440 ",3,1650595,"  12,938 ",
September,"  51,986,210 ","  64,095 ",6,1663533,"  36,131 ",
October,"  52,050,305 ","  75,285 ",3,1699664,"  4,716 ",
November,"  52,125,590 ","  128,212 ",8,1704380,"  2,721 ",
December,"  52,253,802 ","  137,639 ",11,1707101,"  3,890 ",
Total,"52,391,441","  1,804,591 ",210,1710991,"  117,618 ",
average,,"  150,383 ",13,,"  9,802 ",
,,,,,,
,,,,,,
,,,,Community ,,
Caspar Cattle,2018,monthly usage,CL/cups,Center meter,,
January,"52,409,651","  91,821 ",8,1710991,"  5,209 ",
February,"  52,501,472 ","  71,758 ",7,1716200,"  5,231 ",
March,"  52,573,230 ","  53,425 ",7,1721431,"  6,201 ",
April,"  52,626,655 ","  115,767 ",8,1727632,"  6,077 ",
May,"  52,742,422 ","  127,821 ",9,1733709,"  10,885 ",
June,"  52,870,243 ","  118,747 ",12,1744594,"  9,691 ",
July,"  52,988,990 ","  150,922 ",10,1754285,"  18,067 ",
August,"  53,139,912 ","  137,500 ",13,1772352,"  12,913 ",
September,"  53,277,412 ","  127,503 ",14,1785265,"  8,037 ",
October,"  53,404,915 ","  140,196 ",11,1793302,"  11,533 ",
November,"  53,545,111 ","  124,871 ",15,1804835,  (519),
December,"  53,669,982 ","  117,580 ",16,1804316,"  4,028 ",
Total,"53,787,562","  1,377,911 ",130,1808344,"  97,353 ",
average,,"  114,826 ",8,,"  8,113 ",
,,,,,,
,,,,,,
Caspar Cattle,2019,monthly usage,CL/cups,Center meter,,
January,"53,787,562","  174,869 ",12.5,1808344,"  8,337 ",
February,"  53,962,431 ","  116,959 ",9,1816681,"  3,479 ",
March,"  54,079,390 ","  121,940 ",11,1820160,"  3,842 ",
April,"  54,201,330 ","  265,878 ",31,1824002,"  6,053 ",
May,"  54,467,208 ","  172,424 ",21,1830055,"  3,026 ",replace submersible pump well 189' deep
June,"  54,639,632 ","  213,905 ",11,1833081,"  12,908 ",
July,"  54,853,537 ","  325,354 ",22,1845989,"  8,833 ",
August,"  55,178,891 ","  217,782 ",14,1854822,"  8,223 ",
September,"  55,396,673 ","  155,882 ",23,1863045,"  7,184 ",
October,"  55,552,555 ","  60,416 ",9,1870229,"  5,572 ",
November,"  55,612,971 ","  62,241 ",12,1875801,"  10,896 ",
December,"  55,675,212 ","  57,248 ",7,1886697,"  13,959 ",bringing concrete tank on line
Total,"55,732,460","  1,944,898 ",182.5,1889760,"  92,312 ",
average,,"  162,075 ",11,,"  7,693 ",
,,,,,,
,,,,,,
Caspar Cattle,2020,monthly usage,CL/cups,Center meter,,
January,"55,732,460","  50,443 ",10.5,1889760,"  3,235 ",
February,"  55,782,903 ","  67,196 ",8,1892995,"  4,546 ",
March,"  55,850,099 ","  60,039 ",10,1897541,"  3,215 ",
April,"  55,910,138 ","  49,382 ",12,1900756,"  4,912 ",
May,"  55,959,520 ","  66,970 ",18,1905668,"  7,690 ",
June,"  56,026,490 ","  57,685 ",15,1913358,"  12,409 ",
July,"  56,084,175 ","  77,137 ",18,1925767,"  4,032 ",
August,"  56,161,312 ","  154,163 ",46.5,1929799,"  6,972 ",
September,"  56,315,475 ","  108,960 ",23.25,1936771,"  7,552 ",
October,"  56,424,435 ","  112,977 ",16.5,1944323,"  5,028 ",
November,"  56,537,412 ","  128,188 ",15,1949351,"  3,689 ",
December,"  56,665,600 ","  96,330 ",19.5,1953040,  607 ,
Total,"56,761,930","  1,029,470 ",212.25,1953647,"  63,887 ",
average,,"  85,789 ",13,,"  5,324 ",
,,,,,,
,,,,,,
Caspar Water,2021,monthly usage,CL/cups,Center meter,,CL residual
January,"56,761,930","  136,155 ",13.5,1953647,  486 ,
February,"  56,898,085 ","  128,695 ",13.5,1954133,  429 ,
March,"  57,026,780 ","  172,800 ",15.75,1954562,"  3,578 ",
April,"  57,199,580 ","  144,195 ",14.5,1958140,"  10,097 ",
May,"  57,343,775 ","  211,183 ",19.5,1968237,"  2,011 ",
June,"  57,554,958 ","  217,822 ",12.75,1970248,"  6,582 ",
July,"  57,772,780 ","  81,235 ",9,1976830,"  8,436 ",
August,"  57,854,015 ","  45,155 ",0,1985266,"  6,745 ",ND
September,"  57,899,170 ","  38,165 ",7.5,1992011,"  6,302 ",
October,"  57,937,335 ","  21,685 ",3,1998313,"  3,655 ",
November,"  57,959,020 ","  21,285 ",2,2001968,"  1,817 ",  0.05 
December,"  57,980,305 ","  15,990 ",9.5,2003785,"  1,335 ",
Total,"57,996,295","  1,234,365 ",120.5,2005120,"  51,473 ",
average,,"  102,864 ",8,,"  4,289 ",
,,,,,,
,,,,,,
Caspar Water,2022,monthly usage,CL/cups,Center meter,,CL residual
January,"57,996,295","  19,600 ",3,2005120,"  1,180 ",
February,"  58,015,895 ","  23,095 ",4.5,2006300,  992 ,0.32
March,"  58,038,990 ","  30,440 ",11.5,2007292,"  2,737 ",
April,"  58,069,430 ","  32,970 ",9,2010029,"  4,146 ",
May,"  58,102,400 ","  30,760 ",4,2014175,  -   ,0.71
June,"  58,133,160 ","  38,840 ",6,2014175,"  21,471 ",
July,"  58,172,000 ","  59,440 ",10,2035646,"  25,804 ",
August,"  58,231,440 ","  83,110 ",16.5,2061450,  -   ,0.56
September,"  58,314,550 ","  54,575 ",6,2061450,"  26,303 ",
October,"  58,369,125 ","  53,760 ",6,2087753,  241 ,
November,"  58,422,885 ","  52,750 ",10.5,2087994,"  6,329 ",  0.55 
December,"  58,475,635 ","  96,295 ",18,2094323,"  4,751 ",
Total,"58,571,930","  575,635 ",105,2099074,"  93,954 ",
average,,"  47,970 ",7,,"  7,830 ",
,,,,,,
,,,,,,
Caspar Water,2023,monthly usage,CL/cups,Center meter,,CL residual
January,"58,571,930","  181,890 ",39,2099074,"  5,399 ",
February,"  58,753,820 ","  185,165 ",34,2104473,"  6,421 ",0.36
March,"  58,938,985 ","  80,055 ",28,2110894,"  4,212 ",
April,"  59,019,040 ","  117,340 ",0,2115106,"  5,908 ",
May,"  59,136,380 ","  103,385 ",24,2121014,"  8,447 ",0.51
June,"  59,239,765 ","  40,765 ",0,2129461,"  6,556 ",
July,"  59,280,530 ","  55,955 ",24,2136017,  -   ,
August,"  59,336,485 ","  46,870 ",0,2136017,"  15,690 ",0.47
September,"  59,383,355 ","  69,580 ",0,2151707,"  3,765 ",
October,"  59,452,935 ","  32,670 ",24,2155472,"  3,351 ",
November,"  59,485,605 ","  28,195 ",0,2158823,"  4,080 ",  0.67 
December,"  59,513,800 ","  36,960 ",0,2162903,  -   ,
Total,"59,550,760","  978,830 ",173,2162903,"  63,829 ",
average,,"  81,569 ",11,,"  5,319 ",
,,,,,,
,,,,,,
Caspar Water,2024,monthly usage,CL/cups,Center meter,,CL residual
January,"59,550,760","  55,830 ",9,2162903,"  5,973 ",
February,"  59,606,590 ","  31,010 ",1.25,2168876,  -   ,0.05
March,"  59,637,600 ","  23,545 ",,2168876,"  5,575 ",
April,"  59,661,145 ","  28,560 ",12,2174451,"  2,731 ",
May,"  59,689,705 ","  32,745 ",,2177182,"  9,440 ",0.00
June,"  59,722,450 ","  29,905 ",9,2186622,"  12,261 ",
July,"  59,752,355 ","  46,505 ",16,2198883,"  17,894 ",
August,"  59,798,860 ","  36,315 ",,2216777,"  6,117 ",
September,"  59,835,175 ","  33,970 ",10,2222894,  -   ,  0 
October,"  59,869,145 ","  26,825 ",,2222894,  -   ,
November,"  59,895,970 ","  26,055 ",12,2222894,"  11,416 ",  0.18 
December,"  59,922,025 ","  29,875 ",,2234310,  -   ,
Total,"59,951,900","  401,140 ",69.25,2234310,"  71,407 ",
average,,"  33,428 ",4,,"  5,951 ",
,,,,,,
,,,,,,
Caspar Water,2025,monthly usage,CL/cups,Center meter,,CL residual
January,"59,951,900","  19,700 ",13.5,2234310,"  (65,434)",
February,"  59,971,600 ","  20,975 ",0,2168876,  -   ,0.20
March,"  59,992,575 ","  24,880 ",16,2168876,"  5,575 ",
April,"  60,017,455 ","  20,810 ",,2174451,"  2,731 ",
May,"  60,038,265 ","  31,520 ",,2177182,"  9,440 ",0.51
June,"  60,069,785 ","  15,815 ",16,2186622,"  12,261 ",
July,"  60,085,600 ","  36,000 ",,2198883,"  17,894 ",
August,"  60,121,600 ","  39,320 ",10,2216777,"  6,117 ",0.40
September,"  60,160,920 ","  54,645 ",,2222894,  -   ,
October,"  60,215,565 ","  33,635 ",,2222894,  -   ,
November,"  60,249,200 ","  52,888 ",,2222894,"  11,416 ",  0.42 
December,"  60,302,088 ","  52,867 ",10,2234310,"  76,305 ",
Total,"60,354,955","  403,055 ",65.5,2310615,"  76,305 ",
average,,"  33,588 ",4,,"  6,359 ",
,,,,,,
,,,,,,
Caspar Water,2026,monthly usage,CL/cups,Center meter,,CL residual
January,"60,354,955","  30,700 ",,2310615,"  2,655 ",
February,"  60,385,655 ","  25,505 ",16,2313270,"  5,926 ",0.48
March,"  60,411,160 ","  29,905 ",16,2319196,  -   ,
April,"  60,441,065 ","  27,855 ",28,2319196,"  11,554 ",
May,"  60,468,920 ","  52,715 ",,2330750,  -   ,1.06
June,"  60,521,635 ","  44,558 ",,2330750,"  20,704 ",
July,"  60,566,193 ","  (60,566,193)",9,2351454,"  (2,351,454)",
August,,  -   ,,,  -   ,
September,,  -   ,,,  -   ,
October,,  -   ,,,  -   ,
November,,  -   ,,,  -   ,
December,,  -   ,,,  -   ,
Total,,"  (60,354,955)",69,,"  (2,310,615)",
average,,"  (5,029,580)",4,,"  (192,551)",